emission_form,emission_type,burn_type,recommended_factor,factor_unit
固定源,煤,自產煤,2.4660252000000004e-05,KgCH4/Kg
固定源,煤,原料煤,2.8470240000000003e-05,KgCH4/Kg
固定源,煤,燃料煤,2.5455744e-05,KgCH4/Kg
固定源,煤,無煙煤,2.9726280000000002e-05,KgCH4/Kg
固定源,煤,焦煤,2.8470240000000003e-05,KgCH4/Kg
固定源,煤,煙煤,2.5455744e-05,KgCH4/Kg
固定源,煤,次煙煤(發電業),2.051532e-05,KgCH4/Kg
固定源,煤,次煙煤(其他),2.344608e-05,KgCH4/Kg
固定源,煤,褐煤,1.1907259200000001e-05,KgCH4/Kg
固定源,煤,油頁岩,8.9053236e-06,KgCH4/Kg
固定源,煤,泥煤,9.7678044e-06,KgCH4/Kg
固定源,煤,煤球,1.590984e-05,KgCH4/Kg
固定源,煤,焦炭,2.9307600000000004e-05,KgCH4/Kg
固定源,燃料油,石油焦,0.00010299528000000002,KgCH4/Kg
固定源,燃料油,航空汽油,9.420300000000002e-05,KgCH4/L
固定源,燃料油,航空燃油,0.00010048320000000002,KgCH4/L
固定源,燃料油,原油,0.00011304360000000002,KgCH4/L
固定源,燃料油,奧里油,8.255950920000002e-05,KgCH4/Kg
固定源,燃料油,天然氣凝結油(NGLs),0.00013268806560000004,KgCH4/M3
固定源,燃料油,煤油,0.00010676340000000002,KgCH4/L
固定源,燃料油,頁岩油,0.00010799431920000003,KgCH4/Kg
固定源,燃料油,柴油,0.00010550736000000003,KgCH4/L
固定源,燃料油,車用汽油,9.797112000000002e-05,KgCH4/L
固定源,燃料油,蒸餘油(燃料油),0.00012057984000000003,KgCH4/L
固定源,燃料油,液化石油氣(LPG),2.7779418000000003e-05,KgCH4/L
固定源,燃料油,石油腦,9.797112000000002e-05,KgCH4/L
固定源,燃料油,柏油,0.00012560400000000003,KgCH4/L
固定源,燃料油,潤滑油,0.00012057984000000003,KgCH4/L
固定源,燃料油,其他油品,0.00011304360000000002,KgCH4/L
固定源,燃料氣,乙烷,4.6431612000000004e-05,KgCH4/L
固定源,燃料氣,天然氣,3.34944e-05,KgCH4/M3
固定源,燃料氣,煉油氣,3.76812e-05,KgCH4/M3
固定源,燃料氣,焦爐氣,1.758456e-05,KgCH4/M3
固定源,燃料氣,高爐氣,3.2531436000000004e-06,KgCH4/M3
固定源,其他燃料,一般廢棄物,0.00024766219908,KgCH4/Kg
固定源,其他燃料,事業廢棄物,-,-
固定源,其他燃料,其他非化石燃料,-,-
固定源,生質燃料,木頭－固態,-,-
固定源,生質燃料,黑液,-,-
固定源,生質燃料,木炭,-,-
固定源,生質燃料,其他固體生質燃料,-,-
固定源,生質燃料,生質汽油,-,-
固定源,生質燃料,生質柴油,-,-
固定源,生質燃料,其他液態生質燃料,-,-
固定源,生質燃料,掩埋場沼氣,-,-
固定源,生質燃料,污泥沼氣,-,-
固定源,生質燃料,其他氣態生質燃料,-,-
移動源,燃料油,航空汽油,9.420300000000002e-05,KgCH4/L
移動源,燃料油,航空燃油,0.00010048320000000002,KgCH4/L
移動源,燃料油,車用汽油,0.0008164260000000001,KgCH4/L
移動源,燃料油,柴油,0.000137159568,KgCH4/L
移動源,燃料油,煤油,0.00010676340000000002,KgCH4/L
移動源,燃料油,潤滑油,0.00012057984000000003,KgCH4/L
移動源,燃料油,液化石油氣(LPG),0.0017223239160000002,KgCH4/L
移動源,燃料油,液化天然氣(LNG),0.0034666704000000004,KgCH4/M3
