emission_form,emission_type,burn_type,recommended_factor,factor_unit
固定源,煤,自產煤,3.699037800000001e-05,KgN2O/Kg
固定源,煤,原料煤,4.270536000000001e-05,KgN2O/Kg
固定源,煤,燃料煤,3.818361600000001e-05,KgN2O/Kg
固定源,煤,無煙煤,4.458942000000001e-05,KgN2O/Kg
固定源,煤,焦煤,4.270536000000001e-05,KgN2O/Kg
固定源,煤,煙煤,3.818361600000001e-05,KgN2O/Kg
固定源,煤,亞煙煤(發電),3.077298000000001e-05,KgN2O/Kg
固定源,煤,亞煙煤(其他),3.516912000000001e-05,KgN2O/Kg
固定源,煤,褐煤,1.7860888800000004e-05,KgN2O/Kg
固定源,煤,油頁岩,1.3357985400000004e-05,KgN2O/Kg
固定源,煤,泥煤,1.4651706600000003e-05,KgN2O/Kg
固定源,煤,煤球,2.3864760000000006e-05,KgN2O/Kg
固定源,煤,焦炭,4.396140000000001e-05,KgN2O/Kg
固定源,燃料油,石油焦,2.0599056e-05,KgN2O/Kg
固定源,燃料油,航空汽油,1.88406e-05,KgN2O/L
固定源,燃料油,航空燃油,2.009664e-05,KgN2O/L
固定源,燃料油,原油,2.2608719999999997e-05,KgN2O/L
固定源,燃料油,奧里油,1.651190184e-05,KgN2O/Kg
固定源,燃料油,天然氣凝結油(NGLs),2.6537613119999998e-05,KgN2O/M3
固定源,燃料油,煤油,2.135268e-05,KgN2O/L
固定源,燃料油,頁岩油,2.159886384e-05,KgN2O/Kg
固定源,燃料油,柴油,2.1101471999999998e-05,KgN2O/L
固定源,燃料油,車用汽油,1.9594224e-05,KgN2O/L
固定源,燃料油,蒸餘油(燃料油),2.4115968e-05,KgN2O/L
固定源,燃料油,液化石油氣(LPG),2.7779418000000006e-06,KgN2O/L
固定源,燃料油,石油腦,1.9594224e-05,KgN2O/L
固定源,燃料油,柏油,2.51208e-05,KgN2O/L
固定源,燃料油,潤滑油,2.4115968e-05,KgN2O/L
固定源,燃料油,其他油品,2.2608719999999997e-05,KgN2O/L
固定源,燃料氣,乙烷,4.643161200000001e-06,KgN2O/L
固定源,燃料氣,天然氣,3.3494400000000007e-06,KgN2O/M3
固定源,燃料氣,煉油氣,3.768120000000001e-06,KgN2O/M3
固定源,燃料氣,焦爐氣,1.7584560000000005e-06,KgN2O/M3
固定源,燃料氣,高爐氣,3.253143600000001e-07,KgN2O/M3
固定源,其他燃料,一般廢棄物,3.3990284592e-05,KgN2O/Kg
固定源,其他燃料,事業廢棄物,-,-
固定源,其他燃料,其他非化石燃料,-,-
固定源,生質燃料,木頭－固態,-,-
固定源,生質燃料,黑液,-,-
固定源,生質燃料,木炭,-,-
固定源,生質燃料,其他固體生質燃料,-,-
固定源,生質燃料,生質汽油,-,-
固定源,生質燃料,生質柴油,-,-
固定源,生質燃料,其他液態生質燃料,-,-
固定源,生質燃料,掩埋場沼氣,-,-
固定源,生質燃料,污泥沼氣,-,-
固定源,生質燃料,其他氣態生質燃料,-,-
移動源,燃料油,航空汽油,1.88406e-05,KgN2O/L
移動源,燃料油,航空燃油,2.009664e-05,KgN2O/L
移動源,燃料油,車用汽油,0.00026125632000000004,KgN2O/L
移動源,燃料油,柴油,0.000137159568,KgN2O/L
移動源,燃料油,煤油,2.135268e-05,KgN2O/L
移動源,燃料油,潤滑油,2.4115968e-05,KgN2O/L
移動源,燃料油,液化石油氣(LPG),5.555883600000001e-06,KgN2O/L
移動源,燃料油,液化天然氣(LNG),0.00011304360000000002,KgN2O/M3
