ch_name,co2e_value,co2e_unit,amount,declared_unit,lifecycle_boundary,checked_date_range
"電力碳足跡(2019)",6.01E-1,kgCO₂e,1,度(kwh),搖籃到大門,2019/01/01～2019/12/31
"電力間接碳足跡(2019)",9.23E-2,kgCO₂e,1,度(kwh),搖籃到大門,2019/01/01～2019/12/31
"液化石油氣(未燃燒，2019)",4.67E-1,kgCO₂e,1,公升(L),搖籃到大門,2019/01/01～2019/12/31
"柴油（於水路運輸移動源使用，2019）",3.36E+0,kgCO₂e,1,公升(L),搖籃到大門,2019/01/01～2019/12/31
"煤油使用(2019)",2.98E+0,kgCO₂e,1,公升(L),搖籃到大門,2019/01/01～2019/12/31
"燃料油使用(蒸餘油/重油使用，2019)",3.95E+0,kgCO₂e,1,公升(L),搖籃到大門,2019/01/01～2019/12/31
"煤油(未燃燒，2019)",4.13E-1,kgCO₂e,1,公升(L),搖籃到大門,2019/01/01～2019/12/31
"柴油（於捕撈移動源使用，2019）",3.36E+0,kgCO₂e,1,公升(L),搖籃到大門,2019/01/01～2019/12/31
"燃料油未燃燒(蒸餘油/重油未燃燒，2019)",8.32E-1,kgCO₂e,1,公升(L),搖籃到大門,2019/01/01～2019/12/31
"柴油(未燃燒，2019)",7.33E-1,kgCO₂e,1,公升(L),搖籃到大門,2019/01/01～2019/12/31
"車用汽油(未燃燒，2019)",6.60E-1,kgCO₂e,1,公升(L),搖籃到大門,2019/01/01～2019/12/31
"柴油(於固定源使用，2019)",3.35E+0,kgCO₂e,1,公升(L),搖籃到大門,2019/01/01～2019/12/31
"車用汽油(於固定源使用，2019)",2.93E+0,kgCO₂e,1,公升(L),搖籃到大門,2019/01/01～2019/12/31
"潤滑油(未燃燒，2019)",1.02E+0,kgCO₂e,1,公斤(kg),搖籃到大門,2019/01/01～2019/12/31
"車用汽油(於移動源使用，2019)",3.02E+0,kgCO₂e,1,公升(L),搖籃到大門,2019/01/01～2019/12/31
"天然氣(於固定源使用，2019)",2.56E+0,kgCO₂e,1,立方公尺(m3),搖籃到大門,2019/01/01～2019/12/31
