# Repository: https://github.com/openclimatedata/globalwarmingpotentials,0,0,0,0,0,0,0,0,0,0,0
Species,SARGWP100,TARGWP100,AR4GWP100,AR5GWP100,AR5CCFGWP100,AR6GWP100,TARGWP20,AR6GWP20,TARGWP500,AR6GWP500,AR6GTP100
CH4,21,23,25,28,34,27.9,62,81.2,7,7.95,5.38
N2O,310,296,298,265,298,273,275,273,156,130,233
CFC11,3800,4600,4750,4660,5352,6230,6300,8320,1600,2090,3540
CFC12,8100,10600,10900,10200,11547,12500,10200,12700,5200,5710,10400
CFC13,0,14000,14400,13900,15451,16200,10000,12400,16300,17500,18800
CFC113,4800,6000,6130,5820,6586,6520,6100,6860,2700,2830,5210
CFC114,0,9800,10000,8590,9615,9430,7500,8260,8700,6150,9410
CFC115,0,7200,7370,7670,8516,9600,4900,7410,9900,9880,11000
Halon1301,5400,6900,7140,6290,7154,7200,7900,8320,2700,2750,5060
Halon1211,0,1300,1890,1750,2070,1930,3600,4920,390,552,406
Halon2402,0,0,1640,1470,1734,2170,0,4070,0,639,702
Halon1202,0,0,0,0,280,216,0,775,0,61.5,39.3
CCl4,1400,1800,1400,1730,2019,2200,2700,3810,580,658,810
CH3Br,0,5,5,2,3,2.43,16,8.74,1,0.692,0.438
CH2Br2,0,1,0,0,0,0,5,0,0,0,0
CHBrF2,0,470,0,0,0,0,1500,0,150,0,0
CH3CCl3,100,140,146,160,193,161,450,567,42,46,29.7
HCFC21,0,210,0,148,179,160,700,575,65,45.6,29
HCFC22,1500,1700,1810,1760,2106,1960,4800,5690,540,560,379
HCFC123,90,120,77,79,96,90.4,390,325,36,25.8,16.4
HCFC124,470,620,609,527,635,597,2000,2070,190,170,110
HCFC141b,600,700,725,782,938,860,2100,2710,220,246,162
HCFC142b,1800,2400,2310,1980,2345,2300,5200,5510,740,658,514
HCFC225ca,0,180,122,127,155,137,590,491,55,39,24.8
HCFC225cb,0,620,595,525,633,568,2000,1960,190,162,105
HFC23,11700,12000,14800,12400,13856,14600,9400,12400,10000,10500,15100
HFC32,650,550,675,677,817,771,1800,2690,170,220,142
HFC41,150,97,0,116,141,135,330,485,30,38.6,24.6
HFC125,2800,3400,3500,3170,3691,3740,5900,6740,1100,1110,1300
HFC134,1000,1100,0,1120,1337,1260,3200,3900,330,361,239
HFC134a,1300,1300,1430,1300,1549,1530,3300,4140,400,436,306
HFC143,300,330,0,328,397,364,1100,1300,100,104,66.6
HFC143a,3800,4300,4470,4800,5508,5810,5500,7840,1600,1940,3250
HFC152,0,43,0,16,20,21.5,140,77.6,13,6.14,3.89
HFC152a,140,120,124,138,167,164,410,591,37,46.8,29.8
HFC161,0,12,0,4,4,4.84,40,17.4,4,1.38,0.872
HFC227ea,2900,3500,3220,3350,3860,3600,5600,5850,1100,1100,1490
HFC236cb,0,1300,0,1210,1438,1350,3300,3750,390,387,268
HFC236ea,0,1200,0,1330,1596,1500,3600,4420,390,428,288
HFC236fa,6300,9400,9810,8060,8998,8690,7500,7450,7100,6040,8870
HFC245ca,560,640,0,716,863,787,2100,2680,200,225,146
HFC245fa,0,950,1030,858,1032,962,3000,3170,300,274,180
HFC365mfc,0,890,794,804,966,914,2600,2920,280,261,172
HFC4310mee,1300,1500,1640,1650,1952,1600,3700,3960,470,458,347
SO2F2,0,0,0,4090,4732,4630,0,7510,0,1410,1920
SF6,23900,22200,22800,23500,26087,25200,15100,18300,32400,34100,30600
